Lip,Li,Ld,Lb
1.766,1.533,3.807,1.932
1.552,1.761,3.505,1.502
1.761,1.48,3.23,1.717
1.731,1.5,3.503,1.745
1.528,1.538,3.704,1.781
1.552,1.589,3.499,1.466
1.761,1.403,3.537,1.788
1.528,1.465,3.561,1.764
1.811,1.749,2.908,1.505
1.749,1.559,2.745,1.454
1.559,1.408,2.816,1.391
1.408,1.408,2.554,1.408
1.631,1.679,3.004,1.605
1.496,1.612,3.327,1.537
1.516,1.543,3.38,1.491
1.543,1.558,3.481,1.658
1.811,1.774,3.294,1.52
1.774,1.957,3.485,1.839
1.957,1.703,3.169,1.763
1.774,1.485,4.209,1.486
1.749,1.92,3.424,1.454
1.92,2.014,3.807,1.685
2.014,1.567,3.815,1.843
1.957,1.721,3.272,1.721
1.92,2.141,4.548,1.738
2.141,1.708,3.708,2.231
1.559,1.804,3.389,1.391
1.804,1.493,3.571,1.65
1.493,1.452,2.994,1.849
1.804,1.551,3.085,1.739
1.408,1.475,2.94,1.451
1.475,1.618,2.977,1.559
1.475,1.519,2.82,1.443
1.411,1.415,2.848,1.51
1.415,1.458,2.818,1.424
1.714,1.483,3.083,1.809
2.023,1.822,3.833,1.957
1.429,1.567,2.556,1.65
1.411,1.938,4.01,1.566
1.938,1.563,3.244,1.81
1.563,1.394,3.271,1.786
1.415,1.575,3.106,1.424
1.575,1.765,3.601,1.589
1.938,1.515,3.507,2.2
1.575,1.693,3.205,1.517
1.458,1.675,3.234,1.464
1.729,2.011,3.542,1.96
2.011,2.08,3.422,1.914
2.08,2.123,4.09,1.943
2.123,2.302,4.093,2.045
2.302,2.337,3.462,2.308
1.815,1.634,3.093,1.549
1.815,1.848,3.254,1.765
1.699,1.372,3.257,1.789
1.729,1.901,3.301,1.5
1.901,1.667,3.393,1.629
1.699,1.334,3.104,1.695
2.011,1.811,3.278,1.628
1.811,1.949,3.713,1.741
1.901,1.891,3.313,1.672
2.123,2.331,4.199,2.123
2.331,1.815,4.611,1.922
1.815,1.191,3.756,2.096
2.302,1.675,3.534,1.785
2.017,2.446,3.611,2.379
2.446,2.028,3.597,1.893
2.028,1.645,2.885,1.783
1.627,1.563,2.858,1.426
1.563,1.48,3.43,1.399
1.627,1.435,3.086,1.418
1.435,1.521,3.13,1.539
1.598,1.733,3.347,1.535
1.733,1.635,3.539,1.638
1.635,1.399,3.538,1.697
1.563,1.703,3.384,1.399
1.816,1.639,3.451,1.548
1.993,1.58,2.988,1.511
1.58,1.513,3.255,1.469
1.993,1.803,4.265,1.83
2.446,1.758,3.689,1.692
1.758,1.661,3.282,1.819
1.758,1.661,3.214,1.834
2.028,1.601,3.167,1.761
2.168,2.482,4.257,2.277
2.482,1.88,3.706,2.363
1.88,2.188,3.434,2.055
2.188,1.84,3.566,1.609
1.84,1.658,2.847,1.445
1.693,1.662,4.214,1.662
1.822,1.927,3.663,1.71
1.822,1.977,4.831,1.665
2.168,1.91,3.269,1.859
2.482,1.88,3.358,1.895
1.88,1.784,3.537,1.726
1.88,1.932,3.396,1.588
1.932,1.938,3.433,1.759
1.88,1.795,3.456,1.632
2.188,1.912,3.618,1.825
1.912,1.857,3.319,1.83
1.932,2.035,3.913,1.637
1.912,2.016,3.883,1.789
1.84,1.729,3.757,2.121
1.729,2.061,3.467,2.061
1.729,1.736,3.269,1.696
1.71,1.944,3.083,1.666
1.631,1.57,2.938,1.549
1.57,1.531,3.536,1.437
1.531,1.643,3.303,1.748
1.951,1.74,4.106,1.955
2.381,1.652,3.703,1.943
1.652,1.505,2.891,1.728
1.652,1.559,3.144,2.008
1.631,1.752,3.156,1.752
1.722,1.973,3.796,1.847
1.57,1.642,3.342,1.501
1.722,1.716,3.796,1.716
1.716,1.607,3.604,1.684
1.71,1.758,3.226,1.379
1.944,1.454,3.249,1.517
1.854,1.877,2.813,1.681
2.234,2.224,4.077,2.248
2.224,1.838,2.887,2.002
1.838,1.421,3.152,1.463
1.421,1.585,2.848,1.535
1.585,1.559,2.625,1.424
1.654,1.589,3.198,1.596
1.654,1.938,3.559,1.867
1.589,1.688,3.322,1.754
2.224,1.844,3.318,2.074
1.844,1.668,3.452,1.746
1.668,1.602,3.185,1.739
1.844,1.707,3.451,1.689
1.838,1.444,2.956,1.545
1.444,1.761,3.704,1.501
1.668,1.59,3.334,1.713
1.421,1.738,2.949,1.617
1.738,1.831,3.514,1.471
1.444,1.764,4.222,1.455
1.738,1.576,3.186,1.478
2.508,2.275,3.618,2.287
2.275,2.109,3.525,2.084
2.109,1.541,3.3,1.925
1.541,1.939,3.737,1.795
1.939,2.148,3.124,2.034
1.829,1.925,3.56,1.736
1.925,2.072,3.552,1.833
1.829,1.858,3.376,1.572
2.508,1.699,3.689,1.67
1.699,1.68,3.387,1.807
1.925,1.992,3.346,1.727
2.275,1.697,3.019,1.507
1.697,1.635,3.308,1.459
2.109,1.541,2.841,1.6
1.541,1.573,3.066,1.398
1.573,1.499,2.839,1.426
1.697,1.805,2.898,1.619
1.541,1.661,3.261,1.506
1.661,1.57,2.94,1.641
1.541,1.587,2.971,1.42
1.573,1.726,3.392,1.597
1.661,1.619,3.212,1.619
1.57,1.713,2.999,1.46
2.072,2.101,3.644,1.9
2.101,1.964,3.238,1.943
1.964,1.998,4.671,1.691
1.998,1.757,3.157,2.173
1.757,1.714,3.043,1.685
1.636,2.029,3.314,1.637
1.58,1.732,3.766,1.732
1.828,1.996,3.673,1.639
1.636,1.939,3.606,1.721
2.072,1.937,3.569,1.763
1.937,1.8,3.716,1.9
2.101,1.759,3.103,1.701
1.759,1.727,3.315,1.431
1.727,1.721,3.923,1.619
1.937,1.527,3.082,1.669
1.964,1.869,3.431,1.548
1.869,1.603,3.067,1.736
1.869,1.696,3.259,1.769
1.998,1.715,3.626,2.464
1.715,1.984,3.634,1.811
1.715,1.805,3.517,1.8
1.757,1.435,2.754,1.472
2.336,1.867,4.107,2.15
1.867,2.161,3.318,2.263
2.161,1.676,3.278,1.752
1.676,1.907,3.526,1.62
1.999,1.771,3.589,1.925
1.999,1.916,3.544,1.964
2.336,1.818,3.781,2.005
1.818,1.614,3.388,1.905
1.614,1.841,3.45,1.688
1.818,1.697,3.712,1.876
1.867,1.829,3.552,1.844
1.829,2.019,3.55,1.973
2.019,1.897,3.342,1.805
1.614,1.861,3.48,1.766
2.161,1.474,2.942,1.566
1.474,1.721,3.342,1.482
1.829,1.681,3.392,1.635
1.676,1.954,3.312,1.658
1.474,1.801,3.377,1.46
2.019,1.787,3.223,1.848
,1.73,3.16,1.774
1.73,2.074,4.235,1.828
,1.731,2.875,1.701
1.24,1.037,2.944,1.635
1.037,1.457,2.429,1.487
1.552,1.34,2.978,1.574
1.453,1.238,2.861,1.674
1.552,1.321,2.761,1.414
1.24,1.093,2.936,1.57
1.453,1.238,3.026,1.781
1.238,1.621,3.271,1.51
1.284,1.142,2.469,1.358
1.383,1.201,3.309,1.72
1.383,1.155,3.075,1.722
1.284,1.205,2.909,1.586
1.228,1.464,2.776,1.625
1.536,1.542,4.267,1.688
1.536,1.479,3.671,1.587
1.574,1.667,3.3,1.416
1.548,1.438,2.953,1.405
1.574,1.464,3.038,1.392
1.548,1.849,3.202,1.636
1.762,1.634,3.505,1.72
1.762,1.529,3.119,1.59
1.522,1.533,2.879,1.533
1.549,1.735,3.232,1.459
1.554,1.54,3.3,1.54
1.54,1.541,3.012,1.632
1.554,1.611,3.027,1.597
1.611,1.665,3.345,1.514
1.522,1.651,3.085,1.667
1.54,1.632,3.404,1.668
1.533,1.532,2.946,1.422
1.651,1.609,3.357,1.544
1.624,1.437,3.176,1.87
1.588,1.482,3.195,1.483
1.59,1.648,3.184,1.606
1.681,1.379,3.016,1.763
1.59,1.488,2.876,1.398
1.681,1.42,3.213,1.942
1.349,1.235,2.866,1.849
1.235,1.533,2.734,1.36
1.29,1.269,2.833,1.605
1.349,1.182,3.149,1.884
1.235,1.659,3.155,1.506
1.29,1.308,3.032,1.645
1.319,1.284,3.608,1.871
1.319,1.354,3.881,1.669
1.39,1.361,2.852,1.661
1.39,1.389,3.333,1.605
1.437,1.46,2.911,1.434
1.46,1.688,3.08,1.524
1.505,1.713,3.762,1.713
1.713,1.769,3.516,1.904
1.437,1.623,3.132,1.41
1.623,1.441,2.911,1.462
1.505,1.467,2.864,1.467
1.467,1.57,3.211,1.451
1.713,1.717,3.36,1.944
1.623,1.666,3.22,1.671
1.729,1.592,3.095,1.634
1.592,1.845,3.539,1.571
1.669,1.59,2.958,1.59
1.729,1.598,3.31,1.598
1.669,1.685,3.103,1.651
1.55,1.766,3.104,1.856
1.766,1.543,3.279,1.543
1.592,1.687,3.686,1.523
1.59,1.688,3.356,1.511
1.29,1.481,2.918,1.481
1.481,1.299,2.952,1.376
1.416,1.293,2.913,1.446
1.416,1.48,2.661,1.567
1.481,1.474,3.237,1.542
1.482,1.473,3.229,1.567
1.456,1.578,3.284,1.473
1.456,1.543,3.233,1.499
1.482,1.543,3.06,1.578
1.372,1.55,3.413,1.439
1.388,1.482,2.902,1.452
1.372,1.621,3.059,1.261
1.405,1.199,3.134,1.876
1.499,1.555,3.017,1.451
1.6,1.507,3.503,1.772
1.507,1.609,3.623,1.657
1.483,1.501,3.209,1.525
1.563,1.559,3.025,1.743
1.483,1.613,3.296,1.605
1.499,1.417,2.749,1.336
1.563,1.542,3.051,1.622
1.302,1.278,2.784,1.604
1.256,1.36,3.122,1.706
1.302,1.259,2.576,1.48
1.676,1.519,3.025,1.889
1.548,1.554,3.028,1.586
1.548,1.55,3.218,1.575
1.63,1.767,3.399,1.568
1.676,1.547,2.846,1.889
1.838,1.51,3.069,1.639
1.617,1.571,3.286,1.676
1.617,1.603,3.115,1.642
1.838,1.549,3.357,1.601
1.628,1.232,3.068,1.709
1.323,1.435,2.819,1.605
1.544,1.515,3.366,1.59
1.616,1.848,3.828,1.542
1.301,1.352,3.273,1.446
1.323,1.408,3.488,1.675
1.301,1.383,2.892,1.446
1.513,1.763,3.039,1.559
1.513,1.725,3.43,1.5
1.381,1.861,3.842,1.65
1.861,1.471,3.825,2.007
1.341,1.41,2.774,1.539
1.41,1.496,3.199,1.383
1.496,1.469,3.652,1.582
1.341,1.519,2.82,1.554
1.381,1.458,3.06,1.487
1.458,1.689,4.017,1.462
1.41,1.507,3.261,1.391
1.458,1.644,3.227,1.598
1.861,1.471,3.406,1.835
1.56,1.525,3.377,1.839
1.403,1.24,3.128,1.698
1.237,1.43,3.294,1.701
1.403,1.494,3.234,1.474
1.747,1.706,3.287,1.474
1.496,1.488,3.02,1.642
1.75,1.814,3.642,1.638
1.574,1.905,3.392,1.572
1.574,1.675,3.262,1.547
1.496,1.542,3.035,1.748
1.316,1.473,2.899,1.394
1.377,1.324,2.679,1.557
1.316,1.287,3.103,1.429
1.377,1.285,2.764,1.501
1.664,1.206,3.228,1.91
1.458,1.372,3.447,1.68
1.458,1.443,3.294,1.718
1.587,1.673,2.831,1.641
1.475,1.364,3.129,1.603
1.479,1.764,3.388,1.614
1.475,1.393,3.167,1.571
1.448,1.728,3.05,1.738
1.359,1.425,2.845,1.692
1.754,1.59,3.026,1.813
1.59,1.705,3.798,1.429
1.754,1.56,3.319,1.725
1.59,1.798,3.446,1.597
1.584,1.59,3.104,1.653
1.318,1.652,3.136,1.578
1.652,1.603,2.986,1.531
1.318,1.53,3.627,1.578
1.318,1.517,3.4,1.469
1.652,1.763,3.368,1.605
1.584,1.461,2.913,1.547
1.509,1.339,3.098,1.538
1.372,1.481,2.878,1.305
1.745,1.747,3.297,1.688
1.509,1.3,3.022,1.54
1.3,1.363,2.92,1.479
1.372,1.466,3.003,1.262
1.481,1.518,3.124,1.46
1.413,1.428,2.804,1.539
1.444,1.335,3.205,1.544
1.309,1.384,2.859,1.661
1.528,1.495,3.102,1.808
1.309,1.427,3.14,1.591
1.632,1.448,2.854,1.417
1.632,1.587,2.848,1.604
1.636,1.873,3.729,1.686
1.136,1.179,3.241,1.352
1.179,1.644,3.79,1.772
1.644,1.501,3.088,2.038
1.501,1.734,3.629,1.745
1.734,1.573,3.106,1.989
1.573,1.224,3.611,1.491
1.14,1.067,3.352,1.367
1.136,1.249,3.533,1.566
1.249,0.926,4.327,1.562
0.926,1.231,3.328,2.312
1.14,1.223,3.18,1.525
1.179,1.266,3.297,1.47
1.266,1.307,3.17,1.752
1.307,1.37,3.251,1.567
1.249,1.496,3.964,1.971
1.266,1.228,3.272,1.558
1.644,1.259,2.582,1.753
1.259,1.265,3.673,1.185
1.265,1.345,3.713,1.773
1.307,1.315,3.143,1.624
1.501,1.2,3.923,1.297
1.259,1.48,3.795,1.397
1.734,1.116,3.676,1.644
1.116,1.217,3.386,1.801
1.573,1.327,3.206,1.616
1.327,1.08,3.817,1.622
1.224,1.156,4.031,1.94
1.327,1.217,3.745,1.566
1.643,1.421,3.784,2.155
1.421,1.775,4.131,2.104
1.775,1.663,3.822,2.035
1.663,1.711,3.505,2.169
1.711,2.002,4.135,1.976
2.002,1.837,3.716,2.25
1.837,1.755,3.876,2.138
1.755,1.608,3.63,2.172
1.608,2.065,4.408,2.239
1.394,1.375,2.825,1.783
1.242,1.48,3.317,1.626
1.643,1.396,3.055,1.882
1.396,1.188,3.213,1.441
1.396,1.367,3.235,1.444
1.421,1.314,3.584,1.738
1.314,1.421,3.019,1.875
1.775,1.489,3.988,2.096
1.489,1.273,3.519,1.847
1.273,1.601,3.449,1.865
1.663,1.298,2.741,1.789
1.489,1.573,4.095,2.141
1.711,1.511,3.291,1.504
1.511,1.505,3.048,1.753
1.298,1.424,3.555,1.453
2.002,1.398,3.615,1.918
1.511,1.216,3.726,1.539
1.837,1.506,3.331,1.827
1.506,1.21,3.44,1.7
1.506,1.253,3.139,1.621
1.755,1.503,3.151,1.646
1.503,1.493,3.246,1.617
1.503,1.313,3.327,1.793
1.608,1.103,3.056,1.391
1.555,1.665,3.917,1.749
1.665,1.567,3.969,2.068
1.567,1.614,3.756,2.174
1.614,1.692,3.468,2.081
1.692,1.721,3.808,1.996
1.721,1.628,3.581,2.21
1.628,1.819,3.583,2.015
1.819,1.596,3.586,1.878
1.596,1.775,3.73,1.85
1.534,1.316,3.64,1.769
1.534,1.476,3.15,1.844
1.555,1.42,3.502,1.658
1.42,1.189,3.153,1.869
1.42,1.264,3.218,1.741
1.665,1.364,3.593,1.729
1.364,1.554,3.318,2.06
1.554,1.39,3.601,1.882
1.567,1.402,3.189,1.796
1.402,1.185,3.208,1.533
1.614,1.383,3.78,1.709
1.383,1.173,3.771,1.77
1.173,1.087,3.205,1.621
1.402,1.324,2.946,1.656
1.692,1.23,4.151,1.472
1.23,1.263,3.69,2.013
1.263,1.444,3.482,1.753
1.383,1.499,3.812,2.01
1.721,1.233,3.784,1.65
1.233,1.271,3.061,1.644
1.23,1.352,4.185,2.052
1.233,1.562,3.948,2.14
1.628,1.342,3.383,1.566
1.342,1.41,3.514,1.657
1.342,1.485,3.96,1.735
1.819,1.692,3.859,1.735
1.692,1.385,3.398,2.039
1.238,1.549,3.677,1.945
1.224,1.291,3.819,1.747
1.327,1.093,2.95,1.498
1.238,1.25,3.873,1.933
1.375,1.311,3.5,1.637
1.311,1.361,3.338,2.039
1.361,1.481,3.621,1.602
1.481,1.293,3.665,1.746
1.293,1.693,3.969,2.071
1.693,1.473,3.956,2.105
1.307,1.34,4.046,2.184
1.295,1.568,4.528,1.709
1.397,1.393,3.214,1.726
1.295,1.374,3.25,1.598
1.375,1.588,3.555,1.97
1.588,1.439,2.92,1.733
1.588,1.396,3.236,1.822
1.311,1.204,3.062,1.805
1.204,1.262,3.193,1.491
1.361,1.523,3.317,1.736
1.523,1.303,3.214,1.758
1.523,1.198,3.204,1.735
1.481,1.327,3.7,1.875
1.327,1.414,4.624,1.934
1.414,1.324,3.482,2.353
1.327,1.068,3.4,1.766
1.293,1.165,3.629,1.741
1.165,1.437,3.297,1.868
1.165,1.18,4.377,1.761
1.693,1.353,3.143,1.931
1.353,1.319,4.111,1.58
1.473,1.355,3.537,1.823
1.353,1.264,3.899,1.62
1.194,1.635,3.465,1.889
1.635,1.67,3.188,1.859
1.67,1.628,3.121,1.824
1.628,1.251,2.802,1.362
1.251,1.42,3.206,1.441
1.42,1.586,3.351,1.721
1.463,1.245,3.267,2.154
1.245,1.245,3.185,1.568
1.194,1.305,3.409,1.732
1.305,1.174,3.076,1.723
1.245,1.213,2.937,1.698
1.305,1.228,3.38,1.686
1.635,1.442,3.202,1.605
1.442,1.421,3.331,1.56
1.421,1.396,3.447,1.828
1.67,1.206,2.653,1.309
1.442,1.548,2.986,1.642
1.628,1.487,3.252,1.76
1.206,1.428,2.974,1.482
1.42,1.293,3.574,1.583
1.547,1.618,4.0,2.131
1.618,1.616,3.241,2.204
1.616,1.653,3.572,1.883
1.515,1.356,3.864,1.872
1.547,1.553,4.178,2.023
1.553,1.412,3.443,2.059
1.412,1.452,3.891,1.861
1.618,1.358,3.292,1.796
1.358,1.252,3.36,1.606
1.553,1.453,3.734,2.119
1.616,1.267,3.7,1.358
1.267,0.994,4.274,1.725
0.994,1.262,3.708,2.205
1.262,1.224,3.736,1.997
1.224,1.459,3.4,1.944
1.358,1.328,3.638,1.759
1.267,1.252,3.928,2.021
1.262,1.049,3.566,1.711
1.224,1.317,3.809,1.792
1.831,1.771,3.841,2.215
1.771,1.609,4.198,2.102
1.609,1.487,3.674,2.258
1.357,1.262,3.529,1.888
1.262,1.438,4.12,1.881
1.438,1.421,3.177,2.215
1.158,1.252,4.281,1.861
1.536,1.27,3.614,1.638
1.262,1.365,3.984,1.648
1.438,1.257,3.519,1.918
1.831,1.423,3.195,1.903
1.423,1.262,3.456,1.594
1.326,1.395,3.323,1.783
1.447,1.471,3.84,2.31
1.471,1.491,4.115,2.049
1.491,1.424,3.607,2.203
1.424,1.506,3.331,2.034
1.506,1.326,3.081,1.457
1.705,1.87,3.985,1.908
1.12,1.147,3.111,1.562
1.12,1.115,2.873,1.6
1.471,1.327,3.913,1.865
1.491,1.236,3.242,1.912
1.236,1.193,3.441,1.563
1.327,1.134,3.711,1.865
1.424,1.311,3.796,1.573
1.506,1.554,3.782,1.635
1.311,1.088,4.244,1.915
1.7,1.326,3.252,1.621
1.7,1.361,3.103,2.057
1.361,1.518,3.282,1.54
1.458,1.101,3.727,1.502
1.567,1.553,3.329,1.932
1.553,1.676,3.472,1.929
